,Pa,D,D_true,REMSE,dist,sample,Pn
1,0.62,0.7657 ,0.5200 ,0.4645,beta,100,0.1
2,0.77,0.4901 ,0.5200 ,0.6661,beta,100,0.15
3,0.806,1.1527 ,0.5200 ,0.9698,beta,100,0.2
4,0.876,0.6543 ,0.5200 ,1.2128,beta,100,0.25
5,0.876,0.7701 ,0.5200 ,1.5982,beta,100,0.3
6,0.891,0.4701 ,0.5200 ,1.9577,beta,100,0.35
7,0.892,1.3763 ,0.5200 ,2.3103,beta,100,0.4
8,0.923,2.3419 ,0.5200 ,2.5195,beta,100,0.45
9,0.918,2.2198 ,0.5200 ,2.7537,beta,100,0.5
10,0.927,1.1818 ,0.5200 ,3.0314,beta,100,0.55
11,0.928,2.4358 ,0.5200 ,3.2492,beta,100,0.6
12,0.93,1.3040 ,0.5200 ,3.8545,beta,100,0.65
13,0.943,1.1079 ,0.5200 ,3.8297,beta,100,0.7
14,0.948,1.4718 ,0.5200 ,4.2378,beta,100,0.75
15,0.95,2.2347 ,0.5200 ,4.5793,beta,100,0.8
16,0.948,1.9286 ,0.5200 ,4.7709,beta,100,0.85
17,0.963,2.3837 ,0.5200 ,5.2487,beta,100,0.9
18,0.958,1.6447 ,0.5200 ,5.4808,beta,100,0.95
19,0.958,1.5621 ,0.5200 ,5.5356,beta,100,0.99
20,0.191,0.4975 ,0.5200 ,-0.0849,beta,1000,0.1
21,0.238,0.4484 ,0.5200 ,-0.0942,beta,1000,0.15
22,0.282,0.5294 ,0.5200 ,-0.0851,beta,1000,0.2
23,0.318,0.5028 ,0.5200 ,-0.0802,beta,1000,0.25
24,0.366,0.6874 ,0.5200 ,0.1375,beta,1000,0.3
25,0.384,0.5052 ,0.5200 ,0.1408,beta,1000,0.35
26,0.419,0.6182 ,0.5200 ,0.1364,beta,1000,0.4
27,0.436,0.5919 ,0.5200 ,0.1361,beta,1000,0.45
28,0.484,0.5905 ,0.5200 ,0.1365,beta,1000,0.5
29,0.536,0.5282 ,0.5200 ,-0.0803,beta,1000,0.55
30,0.6,0.5374 ,0.5200 ,0.0866,beta,1000,0.6
31,0.643,0.4603 ,0.5200 ,0.0998,beta,1000,0.65
32,0.664,0.5354 ,0.5200 ,0.1180,beta,1000,0.7
33,0.695,0.5250 ,0.5200 ,0.1372,beta,1000,0.75
34,0.752,0.4744 ,0.5200 ,0.1599,beta,1000,0.8
35,0.773,0.5546 ,0.5200 ,0.1783,beta,1000,0.85
36,0.799,0.6450 ,0.5200 ,0.2049,beta,1000,0.9
37,0.821,0.5291 ,0.5200 ,0.2301,beta,1000,0.95
38,0.844,0.6047 ,0.5200 ,0.2503,beta,1000,0.99
39,0.566,1.0487 ,0.5200 ,0.2710,beta,125,0.1
